stationID;stationProvider;stationName
AO00;aodos;aodos tolls station 00
AO01;aodos;aodos tolls station 01
AO02;aodos;aodos tolls station 02
AO03;aodos;aodos tolls station 03
AO04;aodos;aodos tolls station 04
AO05;aodos;aodos tolls station 05
AO06;aodos;aodos tolls station 06
AO07;aodos;aodos tolls station 07
AO08;aodos;aodos tolls station 08
AO09;aodos;aodos tolls station 09
AO10;aodos;aodos tolls station 10
AO11;aodos;aodos tolls station 11
AO12;aodos;aodos tolls station 12
AO13;aodos;aodos tolls station 13
AO14;aodos;aodos tolls station 14
AO15;aodos;aodos tolls station 15
AO16;aodos;aodos tolls station 16
AO17;aodos;aodos tolls station 17
AO18;aodos;aodos tolls station 18
AO19;aodos;aodos tolls station 19
GF00;gefyra;gefyra tolls station 00
EG00;egnatia;egnatia tolls station 00
EG01;egnatia;egnatia tolls station 01
EG02;egnatia;egnatia tolls station 02
EG03;egnatia;egnatia tolls station 03
EG04;egnatia;egnatia tolls station 04
EG05;egnatia;egnatia tolls station 05
EG06;egnatia;egnatia tolls station 06
EG07;egnatia;egnatia tolls station 07
EG08;egnatia;egnatia tolls station 08
EG09;egnatia;egnatia tolls station 09
EG10;egnatia;egnatia tolls station 10
EG11;egnatia;egnatia tolls station 11
EG12;egnatia;egnatia tolls station 12
KO00;kentriki_odos;kentriki_odos tolls station 00
KO01;kentriki_odos;kentriki_odos tolls station 01
KO02;kentriki_odos;kentriki_odos tolls station 02
KO03;kentriki_odos;kentriki_odos tolls station 03
KO04;kentriki_odos;kentriki_odos tolls station 04
KO05;kentriki_odos;kentriki_odos tolls station 05
KO06;kentriki_odos;kentriki_odos tolls station 06
KO07;kentriki_odos;kentriki_odos tolls station 07
KO08;kentriki_odos;kentriki_odos tolls station 08
KO09;kentriki_odos;kentriki_odos tolls station 09
MR00;moreas;moreas tolls station 00
MR01;moreas;moreas tolls station 01
MR02;moreas;moreas tolls station 02
MR03;moreas;moreas tolls station 03
MR04;moreas;moreas tolls station 04
MR05;moreas;moreas tolls station 05
MR06;moreas;moreas tolls station 06
MR07;moreas;moreas tolls station 07
MR08;moreas;moreas tolls station 08
NE00;nea_odos;nea_odos tolls station 00
NE01;nea_odos;nea_odos tolls station 01
NE02;nea_odos;nea_odos tolls station 02
NE03;nea_odos;nea_odos tolls station 03
NE04;nea_odos;nea_odos tolls station 04
NE05;nea_odos;nea_odos tolls station 05
NE06;nea_odos;nea_odos tolls station 06
NE07;nea_odos;nea_odos tolls station 07
NE08;nea_odos;nea_odos tolls station 08
NE09;nea_odos;nea_odos tolls station 09
NE10;nea_odos;nea_odos tolls station 10
NE11;nea_odos;nea_odos tolls station 11
NE12;nea_odos;nea_odos tolls station 12
NE13;nea_odos;nea_odos tolls station 13
NE14;nea_odos;nea_odos tolls station 14
NE15;nea_odos;nea_odos tolls station 15
NE16;nea_odos;nea_odos tolls station 16
OO00;olympia_odos;olympia_odos tolls station 00
OO01;olympia_odos;olympia_odos tolls station 01
OO02;olympia_odos;olympia_odos tolls station 02
OO03;olympia_odos;olympia_odos tolls station 03
OO04;olympia_odos;olympia_odos tolls station 04
OO05;olympia_odos;olympia_odos tolls station 05
OO06;olympia_odos;olympia_odos tolls station 06
OO07;olympia_odos;olympia_odos tolls station 07
OO08;olympia_odos;olympia_odos tolls station 08
OO09;olympia_odos;olympia_odos tolls station 09
OO10;olympia_odos;olympia_odos tolls station 10
OO11;olympia_odos;olympia_odos tolls station 11
OO12;olympia_odos;olympia_odos tolls station 12
OO13;olympia_odos;olympia_odos tolls station 13
